run,dataset,preprocessing,backbone,transfer,regime,seed,trainable_params,wall_clock_s,auroc,accuracy,macro_f1,ece
dermamnist_p0_ft_r100_s0,dermamnist,p0,resnet50,ft,1.0,0,23522375,181.12,0.9591783332858362,0.8219451371571073,0.7040056083496455,0.1245185036908956
dermamnist_p0_ft_r100_s1,dermamnist,p0,resnet50,ft,1.0,1,23522375,181.86,0.9552265536470248,0.8129675810473815,0.6668168274287182,0.086421000764257
dermamnist_p0_ft_r100_s2,dermamnist,p0,resnet50,ft,1.0,2,23522375,181.04,0.9644092342415158,0.8354114713216958,0.7142889878372839,0.0980543381704059
dermamnist_p0_ft_r10_s2,dermamnist,p0,resnet50,ft,0.1,2,23522375,141.21,0.8867712087753745,0.7281795511221946,0.4700489127893433,0.131335899642578
dermamnist_p0_lora_r100_s0,dermamnist,p0,resnet50,lora,1.0,0,316423,943.11,0.9490797811006016,0.7965087281795511,0.6075937443649014,0.0307509924110926
dermamnist_p0_lora_r10_s1,dermamnist,p0,resnet50,lora,0.1,1,316423,284.9,0.8854537276618822,0.7376558603491272,0.4200812111776325,0.0353505576935194
dermamnist_p0_lora_r5_s2,dermamnist,p0,resnet50,lora,0.05,2,316423,220.08,0.8107293468171984,0.6897755610972569,0.2152079370599115,0.0360030774463739
dermamnist_p0_lp_r100_s2,dermamnist,p0,resnet50,lp,1.0,2,14343,418.69,0.8658196354130007,0.713216957605985,0.3477274929290616,0.0373626246713938
dermamnist_p0_lp_r5_s0,dermamnist,p0,resnet50,lp,0.05,0,14343,134.78,0.7265925606964208,0.6743142144638404,0.15814009475206,0.0372389574449258
dermamnist_p_global_ft_r100_s2,dermamnist,p_global,resnet50,ft,1.0,2,23522375,687.33,0.9244654189953234,0.7650872817955112,0.5336982564665942,0.1007568766945912
dermamnist_p_global_ft_r5_s0,dermamnist,p_global,resnet50,ft,0.05,0,23522375,124.57,0.8070584110789379,0.6902743142144638,0.233355160214147,0.1407361969983488
dermamnist_p_global_lora_r100_s1,dermamnist,p_global,resnet50,lora,1.0,1,316423,1168.54,0.9170691877001832,0.7586034912718205,0.5016775834497088,0.0517574961345986
dermamnist_p_global_lora_r10_s2,dermamnist,p_global,resnet50,lora,0.1,2,316423,288.28,0.820350780167663,0.6912718204488778,0.2822610834867189,0.0344439685196056
dermamnist_p_global_lp_r10_s0,dermamnist,p_global,resnet50,lp,0.1,0,14343,170.79,0.7383637873436946,0.6812967581047381,0.1991399969440189,0.0178184775194324
dermamnist_p_global_lp_r5_s1,dermamnist,p_global,resnet50,lp,0.05,1,14343,28.1,0.5709817191658475,0.6688279301745635,0.1146104867313362,0.1950078918303634
dermamnist_p_local_ft_r10_s0,dermamnist,p_local,resnet50,ft,0.1,0,23522375,160.35,0.8717968146335874,0.7376558603491272,0.4203172729236156,0.1181418387744194
dermamnist_p_local_ft_r5_s1,dermamnist,p_local,resnet50,ft,0.05,1,23522375,173.74,0.8261697821654426,0.7002493765586035,0.3804255752436467,0.1619753764454563
dermamnist_p_local_lora_r100_s2,dermamnist,p_local,resnet50,lora,1.0,2,316423,944.66,0.9415974855910836,0.800997506234414,0.6105337034392468,0.0308373536552277
dermamnist_p_local_lora_r5_s0,dermamnist,p_local,resnet50,lora,0.05,0,316423,234.34,0.802372956637452,0.7037406483790524,0.2599186252179777,0.0431913400751694
dermamnist_p_local_lp_r100_s0,dermamnist,p_local,resnet50,lp,1.0,0,14343,499.2,0.8460060367812778,0.7216957605985037,0.3286354308973537,0.0382351178034879
dermamnist_p_local_lp_r10_s1,dermamnist,p_local,resnet50,lp,0.1,1,14343,183.62,0.7713666504688381,0.6922693266832918,0.2113169830045308,0.045629384578612
dermamnist_p_local_lp_r5_s2,dermamnist,p_local,resnet50,lp,0.05,2,14343,148.74,0.7181067471902589,0.6887780548628429,0.1858596919220905,0.0638937466608318
pneumonia_plocal_lora_r10_s0,pneumoniamnist,p_local,resnet50,lora,0.1,0,306178,29.56,0.9586346701731318,0.8653846153846154,0.8458769979887795,0.0833190936499681
pneumoniamnist_p0_ft_r100_s0,pneumoniamnist,p0,resnet50,ft,1.0,0,23512130,120.24,0.9657955292570676,0.8525641025641025,0.8254333150884875,0.1158490213446128
pneumoniamnist_p0_ft_r100_s1,pneumoniamnist,p0,resnet50,ft,1.0,1,23512130,119.38,0.985678281832128,0.9246794871794872,0.9165279165279164,0.0588409882516433
pneumoniamnist_p0_ft_r100_s2,pneumoniamnist,p0,resnet50,ft,1.0,2,23512130,119.17,0.9235152312075388,0.8413461538461539,0.810134402075195,0.1413976896840793
pneumoniamnist_p0_ft_r5_s0,pneumoniamnist,p0,resnet50,ft,0.05,0,23512130,50.31,0.912962962962963,0.8365384615384616,0.8213399503722085,0.102914061015233
pneumoniamnist_p0_lora_r100_s1,pneumoniamnist,p0,resnet50,lora,1.0,1,306178,552.92,0.9764738110891956,0.8733974358974359,0.8536928487690505,0.0698199766950729
